River,Year,Distance,PropRedds,Elevation,MaxGrad,TotRedds
Dungeness,1998,0.2,0.5,100,0.1,44
Dungeness,1998,0.4,0.8,175,0.2,44
Dungeness,1998,0.6,0.9,230,0.3,44
Dungeness,1998,0.8,1,300,0.4,44
Dungeness,1999,0.2,0.4,100,0.1,40
Dungeness,1999,0.4,0.8,175,0.2,40
Dungeness,1999,0.6,0.85,230,0.3,40
Dungeness,1999,0.8,1,300,0.4,40
Dungeness,2000,0.2,0.55,100,0.1,50
Dungeness,2000,0.4,0.75,175,0.2,50
Dungeness,2000,0.6,0.92,230,0.3,50
Dungeness,2000,0.8,1,300,0.4,50
Dungeness,2001,0.2,0.53,100,0.1,41
Dungeness,2001,0.4,0.77,175,0.2,41
Dungeness,2001,0.6,0.89,230,0.3,41
Dungeness,2001,0.8,1,300,0.4,41
Queets,1998,0.2,0.1,20,0.1,155
Queets,1998,0.4,0.2,50,0.1,155
Queets,1998,0.55,0.5,85,0.2,155
Queets,1998,0.8,0.6,160,0.3,155
Queets,1998,1,1,290,0.35,155
Queets,1999,0.2,0.1,20,0.1,200
Queets,1999,0.4,0.22,50,0.1,200
Queets,1999,0.55,0.55,85,0.2,200
Queets,1999,0.8,0.68,160,0.3,200
Queets,1999,1,1,290,0.35,200
Queets,2000,0.2,0.08,20,0.1,120
Queets,2000,0.4,0.15,50,0.1,120
Queets,2000,0.55,0.45,85,0.2,120
Queets,2000,0.8,0.57,160,0.3,120
Queets,2000,1,1,290,0.35,120
Queets,2001,0.2,0.15,20,0.1,245
Queets,2001,0.4,0.3,50,0.1,245
Queets,2001,0.55,0.71,85,0.2,245
Queets,2001,0.8,0.8,160,0.3,245
Queets,2001,1,1,290,0.35,245
Hoh,2001,0.2,0,45,0.05,511
Hoh,2001,0.4,0.28,98,0.2,511
Hoh,2001,0.6,0.67,176,0.25,511
Hoh,2001,0.8,1,190,0.38,511
Hoh,2009,0.2,0,45,0.05,348
Hoh,2009,0.4,0.13,98,0.2,348
Hoh,2009,0.6,0.51,176,0.25,348
Hoh,2009,0.8,1,190,0.38,348
Hoh,2011,0.2,0,45,0.05,412
Hoh,2011,0.4,0.2,98,0.2,412
Hoh,2011,0.6,0.59,176,0.25,412
Hoh,2011,0.8,1,190,0.38,412
